iter	Passed	Remaining
0	11	11149
1	19	9543
2	27	9212
3	35	8881
4	44	8861
5	51	8593
6	60	8590
7	68	8537
8	78	8618
9	88	8769
10	97	8778
11	107	8813
12	114	8714
13	125	8810
14	132	8727
15	141	8722
16	150	8681
17	159	8706
18	168	8707
19	176	8652
20	185	8646
21	193	8596
22	201	8568
23	209	8529
24	218	8540
25	227	8504
26	236	8529
27	246	8539
28	256	8589
29	265	8583
30	273	8556
31	295	8934
32	304	8928
33	312	8866
34	335	9239
35	343	9203
36	352	9173
37	359	9107
38	369	9106
39	377	9055
40	386	9035
41	393	8982
42	403	8978
43	411	8943
44	420	8933
45	429	8905
46	438	8882
47	446	8848
48	455	8843
49	463	8811
50	472	8783
51	480	8766
52	490	8755
53	498	8739
54	507	8715
55	515	8690
56	523	8654
57	531	8636
58	539	8603
59	548	8599
60	556	8570
61	566	8570
62	574	8539
63	583	8529
64	590	8497
65	600	8501
66	609	8480
67	620	8501
68	629	8486
69	637	8463
70	649	8497
71	658	8481
72	666	8462
73	674	8439
74	682	8415
75	689	8386
76	697	8362
77	705	8339
78	713	8321
79	722	8303
80	732	8306
81	739	8281
82	748	8266
83	756	8252
84	766	8255
85	777	8260
86	785	8240
87	794	8229
88	801	8205
89	811	8205
90	819	8182
91	828	8174
92	835	8152
93	844	8136
94	851	8114
95	860	8099
96	867	8076
97	877	8076
98	889	8094
99	898	8088
100	908	8082
101	915	8057
102	924	8055
103	932	8038
104	944	8053
105	954	8048
106	961	8028
107	977	8076
108	986	8065
109	994	8047
110	1002	8029
111	1010	8008
112	1018	7993
113	1026	7974
114	1034	7958
115	1042	7944
116	1049	7924
117	1060	7926
118	1069	7914
119	1077	7902
120	1086	7892
121	1093	7871
122	1104	7874
123	1111	7855
124	1121	7847
125	1128	7827
126	1139	7833
127	1147	7815
128	1156	7807
129	1164	7793
130	1173	7785
131	1181	7771
132	1189	7754
133	1197	7737
134	1205	7722
135	1212	7704
136	1223	7707
137	1231	7690
138	1239	7680
139	1248	7669
140	1256	7654
141	1266	7653
142	1274	7640
143	1283	7628
144	1291	7614
145	1303	7622
146	1310	7605
147	1319	7595
148	1327	7580
149	1335	7569
150	1343	7551
151	1351	7538
152	1358	7522
153	1367	7514
154	1375	7498
155	1385	7497
156	1393	7481
157	1401	7468
158	1409	7453
159	1418	7445
160	1426	7431
161	1436	7431
162	1445	7420
163	1453	7407
164	1463	7406
165	1471	7391
166	1479	7380
167	1488	7369
168	1497	7361
169	1504	7345
170	1512	7333
171	1520	7320
172	1529	7312
173	1537	7299
174	1546	7292
175	1554	7279
176	1563	7271
177	1571	7255
178	1584	7267
179	1600	7290
180	1608	7278
181	1617	7267
182	1634	7299
183	1643	7289
184	1651	7274
185	1659	7263
186	1667	7249
187	1676	7239
188	1683	7223
189	1693	7220
190	1701	7207
191	1713	7212
192	1722	7202
193	1730	7189
194	1738	7178
195	1746	7165
196	1754	7152
197	1762	7138
198	1770	7126
199	1780	7121
200	1791	7119
201	1799	7109
202	1808	7101
203	1816	7086
204	1824	7074
205	1832	7063
206	1843	7062
207	1851	7048
208	1860	7040
209	1867	7025
210	1876	7016
211	1883	7002
212	1892	6993
213	1900	6979
214	1909	6972
215	1916	6957
216	1926	6951
217	1934	6938
218	1944	6934
219	1955	6933
220	1963	6922
221	1972	6912
222	1980	6900
223	1988	6889
224	1996	6875
225	2004	6864
226	2012	6851
227	2020	6842
228	2029	6831
229	2044	6845
230	2053	6837
231	2061	6822
232	2069	6812
233	2077	6799
234	2090	6804
235	2097	6791
236	2107	6786
237	2127	6812
238	2137	6805
239	2144	6791
240	2152	6780
241	2160	6767
242	2168	6755
243	2176	6743
244	2184	6733
245	2192	6721
246	2202	6715
247	2211	6704
248	2220	6698
249	2228	6684
250	2236	6673
251	2244	6660
252	2253	6655
253	2261	6641
254	2270	6632
255	2277	6620
256	2286	6611
257	2294	6599
258	2303	6591
259	2311	6577
260	2320	6568
261	2327	6556
262	2338	6551
263	2346	6543
264	2355	6532
265	2363	6521
266	2373	6514
267	2381	6505
268	2388	6492
269	2396	6480
270	2404	6468
271	2415	6465
272	2423	6454
273	2433	6448
274	2441	6435
275	2450	6428
276	2458	6417
277	2466	6406
278	2474	6394
279	2482	6382
280	2490	6372
281	2500	6367
282	2508	6354
283	2517	6346
284	2525	6336
285	2534	6327
286	2543	6318
287	2587	6395
288	2596	6389
289	2603	6375
290	2613	6368
291	2621	6355
292	2631	6349
293	2640	6340
294	2649	6331
295	2657	6321
296	2668	6317
297	2676	6305
298	2685	6295
299	2699	6298
300	2707	6288
301	2715	6275
302	2723	6264
303	2731	6253
304	2739	6242
305	2748	6232
306	2757	6223
307	2765	6212
308	2775	6206
309	2782	6193
310	2792	6185
311	2799	6174
312	2809	6166
313	2816	6154
314	2826	6146
315	2833	6134
316	2843	6127
317	2851	6115
318	2860	6107
319	2872	6104
320	2883	6099
321	2891	6088
322	2899	6076
323	2909	6069
324	2916	6057
325	2925	6047
326	2932	6036
327	2947	6039
328	2957	6030
329	2964	6018
330	2974	6011
331	2982	6000
332	2994	5997
333	3002	5988
334	3010	5976
335	3018	5965
336	3026	5954
337	3035	5944
338	3042	5933
339	3051	5923
340	3058	5911
341	3067	5901
342	3075	5890
343	3083	5880
344	3091	5869
345	3100	5860
346	3108	5849
347	3117	5841
348	3125	5829
349	3135	5823
350	3142	5811
351	3151	5801
352	3158	5789
353	3167	5780
354	3175	5769
355	3185	5761
356	3192	5750
357	3201	5741
358	3208	5729
359	3217	5719
360	3226	5710
361	3241	5713
362	3250	5704
363	3258	5693
364	3271	5692
365	3281	5684
366	3289	5673
367	3298	5664
368	3305	5653
369	3328	5668
370	3336	5657
371	3345	5647
372	3353	5636
373	3362	5627
374	3369	5615
375	3378	5606
376	3386	5595
377	3395	5588
378	3403	5576
379	3411	5566
380	3419	5555
381	3429	5548
382	3437	5537
383	3446	5529
384	3454	5518
385	3462	5507
386	3470	5497
387	3478	5487
388	3486	5476
389	3496	5469
390	3504	5458
391	3514	5450
392	3522	5440
393	3530	5430
394	3538	5420
395	3547	5410
396	3554	5398
397	3564	5390
398	3571	5380
399	3581	5372
400	3588	5360
401	3602	5358
402	3610	5348
403	3617	5337
404	3626	5327
405	3634	5316
406	3642	5307
407	3649	5295
408	3658	5286
409	3665	5275
410	3677	5270
