iter	Logloss
0	0.6607313965
1	0.6343531907
2	0.6126356383
3	0.5978239475
4	0.5828279434
5	0.5698277432
6	0.562274556
7	0.555682589
8	0.5488034553
9	0.5426768182
10	0.5325717577
11	0.5273535685
12	0.5237626982
13	0.5211051859
14	0.5154964381
15	0.5124795883
16	0.5098675932
17	0.5055545006
18	0.5024446037
19	0.5005617127
20	0.49875367
21	0.497461377
22	0.4952876845
23	0.4937771897
24	0.49005226
25	0.4879469307
26	0.4823852019
27	0.4808039133
28	0.4759260252
29	0.4747100687
30	0.4735782001
31	0.4716747983
32	0.4703579593
33	0.4693082345
34	0.4678754978
35	0.466833259
36	0.465758939
37	0.464881946
38	0.4640413194
39	0.4633723109
40	0.4620970819
41	0.4613613776
42	0.4596326728
43	0.458835693
44	0.4577811602
45	0.4570036656
46	0.4562552711
47	0.4548665627
48	0.4529412961
49	0.4520957924
50	0.4516729135
51	0.4507193208
52	0.4496810253
53	0.4491140992
54	0.4486482881
55	0.4480852306
56	0.4473825868
57	0.4463261703
58	0.4456950855
59	0.4450783669
60	0.4440628784
61	0.4436839473
62	0.4429606466
63	0.4423679357
64	0.4416603165
65	0.4411709651
66	0.4406414852
67	0.4389626339
68	0.4383570729
69	0.4378932587
70	0.4373260875
71	0.4363941127
72	0.4361201762
73	0.4352031803
74	0.4346655875
75	0.4340621314
76	0.4335483229
77	0.4331041033
78	0.4325135
79	0.4321237922
80	0.4315693579
81	0.4311625251
82	0.430610504
83	0.4302090747
84	0.4297042933
85	0.4293094248
86	0.4287345133
87	0.4282359862
88	0.4276673209
89	0.4273820234
90	0.4268208736
91	0.4263289585
92	0.4258662622
93	0.4251991445
94	0.4247453053
95	0.4243074061
96	0.4238439437
97	0.4234581669
98	0.423127452
99	0.4227275296
