iter	Passed	Remaining
0	146	14524
1	154	7587
2	163	5278
3	171	4124
4	180	3426
5	187	2929
6	194	2585
7	202	2331
8	210	2131
9	218	1967
10	226	1835
11	233	1711
12	241	1615
13	249	1535
14	259	1467
15	266	1400
16	274	1340
17	281	1283
18	289	1233
19	296	1187
20	305	1147
21	312	1109
22	320	1074
23	330	1045
24	342	1028
25	349	994
26	357	967
27	367	945
28	378	927
29	388	905
30	398	888
31	412	876
32	425	863
33	437	848
34	447	830
35	456	810
36	465	792
37	476	777
38	486	761
39	497	745
40	506	728
41	516	713
42	527	699
43	537	683
44	547	668
45	557	654
46	568	641
47	578	626
48	588	612
49	601	601
50	612	588
51	623	575
52	634	563
53	647	551
54	660	540
55	670	526
56	681	513
57	694	502
58	703	489
59	714	476
60	724	463
61	735	450
62	745	437
63	761	428
64	775	417
65	786	405
66	799	393
67	813	382
68	826	371
69	839	359
70	852	348
71	863	335
72	877	324
73	889	312
74	901	300
75	913	288
76	928	277
77	940	265
78	951	252
79	963	240
80	974	228
81	986	216
82	997	204
83	1009	192
84	1020	180
85	1031	167
86	1041	155
87	1053	143
88	1066	131
89	1078	119
90	1090	107
91	1102	95
92	1113	83
93	1123	71
94	1134	59
95	1146	47
96	1156	35
97	1167	23
98	1179	11
99	1189	0
